A月,数B,化学,コ英,地理,数II,物理
A火,古典,コ英,現代文,数II,物理,芸術
A水,体育,英表,物理,現代文,数II,古典
A木,コ英,物理,数II,化学,保健,地理,LHR
A金,体育,現代文,化学,数B,地理,英表
B月,物理,現代文,地理,数II,コ英,古典
B火,体育,化学,数B,地理,芸術,コ英
B水,体育,保健,数II,化学,英表,物理
B木,古典,数II,コ英,地理,化学,芸術,LHR
B金,体育,英表,数B,地理,物理,現代文
